time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1.58333333,7.52208609,-1.64083004,-0.23704513,0.59316185,1.04951403,-0.00619069,13.15554105,-4.93733116,-9.58194811,-64.0565079,0.79502904,0.00000085,0,-2.83359207,1.61709756,-0.06846238,-11.55826812,4.97775105,0.00000473,0,-23.0352904,-0.45477671,-5.8332948
1.6,7.57254989,-1.87145779,-0.00349674,0.59210642,1.04994626,-0.00732454,14.47269243,-4.33577216,-9.59344983,-61.19995758,1.06176328,0.00000145,0,-4.66908078,1.41172227,0.32531789,-10.22284276,5.38740168,0.00000458,0,-23.1332625,-0.00319238,-5.99934628
1.61666667,7.53135217,-1.84054297,0.33219231,0.58932506,1.04954183,-0.00847613,15.76145288,-4.12588689,-9.82355665,-57.76708409,1.3212836,0.0000017,0,-6.14561639,1.45093398,0.87637287,-9.16564469,5.763855,0.00000436,0,-23.36940087,0.12868055,-6.18596154
1.63333333,7.24186797,-1.90472929,0.45881843,0.58740161,1.04811727,-0.00927148,17.00121656,-3.8589665,-10.14305255,-53.63022365,1.5411639,0.00000158,0,-7.3040159,1.40393921,1.14226271,-8.36958681,6.39919552,0.00000431,0,-23.09258646,0.34703389,-6.32590006
1.65,7.13567266,-1.62648029,0.38206781,0.58513626,1.04646716,-0.01002814,17.80671064,-3.96496718,-10.41405194,-48.85599294,1.69824148,0.00000096,0,-8.74795361,1.75525973,1.18904684,-7.35419993,6.8545442,0.00000418,0,-23.12613164,0.19759904,-6.354439
1.66666667,7.21552203,-1.51617751,0.443236,0.58377224,1.04483206,-0.01032911,17.90042064,-3.91282745,-11.22173925,-43.21691588,1.63322671,0.00000024,0,-10.48830224,1.85358612,1.32451527,-6.25170129,7.35281168,0.00000414,0,-23.34368389,0.19583638,-6.3440824
1.68333333,7.09906981,-1.07238228,0.3472001,0.58200643,1.04196921,-0.01078775,18.16419059,-4.13494551,-11.85605042,-37.37565211,1.41970397,-0.00000033,0,-11.80712343,2.34905283,1.43502028,-5.57832804,8.07074855,0.0000042,0,-23.36235086,-0.15652416,-6.4034909
1.7,6.90601209,-0.71528606,0.30423142,0.58120443,1.03871346,-0.0107589,18.1154448,-4.0898991,-12.47845427,-30.94706281,1.0902533,-0.00000055,0,-13.18216256,2.70103609,1.58853996,-4.75459472,8.76547806,0.00000418,0,-23.16648772,-0.42773577,-6.51869258
1.71666667,7.17227607,-0.14181136,0.21659199,0.58004761,1.03586571,-0.01051829,17.44610178,-4.08455607,-12.51323998,-24.31534169,0.6835204,-0.00000022,0,-15.01287153,3.29681677,1.74220964,-3.97288342,9.36040265,0.00000403,0,-23.58779266,-0.98779051,-6.55887001
1.73333333,7.17232498,0.4627119,0.12213629,0.57917279,1.03202653,-0.01036322,16.99056419,-4.03517785,-11.84014207,-17.80331634,0.388338,0.00000027,0,-16.60194199,3.9499611,1.94847074,-3.15856726,9.98867559,0.00000369,0,-23.68572065,-1.50967658,-6.53919435
